"Postpartum has made cultivating a positive body image extremely hard, and I hate the days filled with fixation on my body. Recovery from disordered eating and unhealthy body image is rough, but not impossible if you want it.",,
"Not body shaming anyone ; Actually Im saying the opposite , You gotta love yourself for the way you are! Changing your body should be done naturally, Just saying.",,
"Why come see us? We stand by our values of Kindness, Exceptional Customer Care, Authenticity &amp; Wholeness, and Safety; Moderation. We are a family and we want you to be a part of it",,
This firming cream is amazing! But dont take my word for it!,,
Wheres my girls at? Representing girl power and body positivity weather your skinny thickums girl your a queen and slayyyyyy,,
Never be afraid to get cute and put on lingerie just for you,,
"Hey , how about you not promote extremely unhealthy weight loss tips? This is INCREDIBLY irresponsible and you should be ashamed of yourselves.",,
User out of his cage in his natural glory.,,
Remember your weight doesnt determine your worth. Rachel Pate,,
"Proud of TZ members, (aka , &amp; ) doing some great work over on 's Creator Network via .",,
"I fell got back up and still body positive, my tummy got softer from the last time I wore this dress",,
"its amazing how I still sometimes believe the innumerable lies fed to me by white patriarchys insidious/blatant social and educational lessons to convince myself that i shouldnt be allowed to enjoy my own fat, marvelous, stunning, thirst-trapping ass",,
Love Jessica's body positivity on tonight. It's so refreshing to hear someone say 'I love who I am and I love my body.',,
"Im starting this year off without caring about others opinions, time to be myself",,
Watching my lbs life and eating Taco Bell,,
The best and worst for showing,,
All bodies are beautiful and I don't care what y'all have to say about it,,
ikkk!! but now i'm on tiktok (which only happened after searching for that hashtag) but i'm glad i did bc it really increased my self esteem and how i feel abt my body too omg,,
"So we all love barely clothed hot chicks on motorcycles, but would yall love barely clothed hot dudes on motorcycles? . . . . . .",,
"Your body is perfection. That's why we make underwear to fit you, not the other way around. Featuring our Classic T-Shirt Bra + Lace High Brief in Taupe",,
"This weeks is all about your Dont miss out on this""Yall mfs always say body positivity until the chubby girls and enbies take off their high waisted skirt", shorts," or pants to show their belly and stretch marks. Get a fucking life."""
the comments on this.. its all about body positivity until it comes to men huh,,
embrace body positivity,,
And im just trying to spread positivity no matter what your body type is starving yourself does nothing and i dont want people to get sick,,
"Check out this custom apparel by all about cannabis, mental health, and body positivity -",,
if ur gonna be for body positivity....please don't have double standards,,
"i agree with you, i feel like large = beautiful but large healthy yk but now people are making body positivity toxic by ignoring health",,
I love body positivity and self love but every now and then I see a picture of myself off guard on my friends Snapchats and I just wanna be skinny xoxo,,
"minors, pls calm down. u shouldnt be conforming to the idea of what you think is ""body positivity"" or ""confidence"" theres the right and appropriate time for everything no to exploitation!",,
"Yeah no problem, Leftists seem to forget what they're preaching when it's someone they don't like. Oh so you don't support onlyfans or body positivity? You should be respecting an independant woman dude",,
BODY PRIDE + POSITIVITY = BEARS OF ISRAEL CALENDAR | The BEARS in EXCESS... via,,
BODY PRIDE + POSITIVITY = BEARS OF ISRAEL CALENDAR | The BEARS in EXCESS...,,
I got to talk about body positivity AND camp today and I'm so happy!,,
"okay, if im being a dickhead, please just let me know... but why am o seeing so many skinny gay boys trying to front the body positivity movement? like, i get that body shaming is toxic in the gay community but the guys in seeing are average and healthy looking.",,
fun fact: the concept of body positivity has existed longer than the people who complain about it,,
Ah yes ur prob someone who promotes body positivity to fat chicks that are gonna get diabetes and heart disease but you rip her for her appearance? People on the left always show their true colors.,,
"Nah you guys have no values or morals, just hypocrisy. The whole modern feminist movement is about body positivity and porn/onlyfans is included in that. You can't weasel your way out of the hypocrisy",,
": ""you preach body positivity, but do you like ur own body?"" Me : ""a- umm.. next question""",,
gotta show some appreciation for body hair as well! Body positivity in all shapes and forms!,,
Not because im chubby ehhh you can bring me down do you know what is body positivity?,,
"Im on fanhouse! Im posting random pics throughout my day, musing about body positivity, giving daily advice, and just posting random other thoughts. plus extra lingerie photos from ones I didnt post so u r welcome",,
body positivity wont reduce risk of heart attacks,,
I went into a room about body positivity and this woman is talking about getting rid of her fat rolls. I hate it here.,,
"Expect LGBT+, Pro Women, Pro Black, and Sex topics. I speak on body positivity whether that is weight, height, scars, etc. I am also into art and gaming so you will see a lot of that as well! I do custom wear and I play almost anything. See ya there!",,
BODY PRIDE + POSITIVITY = BEARS OF ISRAEL CALENDAR | The BEARS in EXCESSShow,,
Hell yeah body positivity time!,,
"We are Body Language Clothing! Living &amp; walking in positivity, let your clothes speak for you! DM for orders, good prices",,
"In the nicest way possible, the body positivity of modelling industry just isnt it? Is it? Now they have overweight or underweight models? But what about the average body, like average bodies, not plus sizes nor sizes S or M for tall, how about usual L and M for average height.",,
I mean definitely a good view most certainly. And I love that you are happy with your body! Body positivity is hot and we all deserve to feel that way. &lt;3,,
Haha! Heres my nose Post yours! Theres no shame in it! Body positivity my fellow Jewish internet friend!,,
Aren't the Left all about body positivity? Fucking hypocrites,,
Body positivity,,
its never okay to comment on peoples appearance body positivity!! spread love!! you never know who needs it,,
skeletal positivity just solved my body dysmorphia,,
Your body doesn't define you. Don't think about yourself in a pessimistic way. Learn to appreciate yourself in a way that your partner can. Surround yourself with appreciation and not negative positivity. Just remember that life is too short to do anything but relish your life.,,
"its the fact that i constantly see my mutuals saying stuff about him, just grow up. dont you dare preach body positivity if youre going to say stuff about him",,
"cannot not stand people who scream body positivity yet feel like its okay to body shame noah beck? i get it, you dont like him, but who the fuck gave you the right to talk shit about his appearance?",,
body positivity is never cringe,,
Your body doesn't define you. Don't manifest yourself in a pessimistic way. Learn to appreciate yourself in a way that can. Surround yourself with admiration and not negative positivity. Just remember that life is too temporary to do anything but love your life.,,
"We support body positivity in this house So if you want to do it, :",,
Your body doesn't change you. Don't think about yourself in a negative way. Learn to admire yourself in a way that no one can. Surround yourself with admiration and not negative positivity. Just remember that life is too brief to do anything but relish your life.,,
"That's not all there is to body positivity. White guys with abs still do get body-shamed and just because you think that it makes sense that they're not, doesn't mean they aren't. Guys, come on, shouldn't we be more conscious about the shit we say? It's wikipedia but...",,
bear in mind there is a difference between the body positivity and body acceptance movement,,
Wheres my girls at? Representing girl power and body positivity weather your skinny thickums girl your a queen and slayyyyyy,,
a tough pill to swallow but it needs to be said more imo: the body positivity movement was created to centre marginalised bodies not slim white able bodies. this isnt for us!! lets stop stealing and slipping ourselves into movements wherever we see fit,,
Practice body positivity and work moderately towards a new goal! Love yourself every bit of the way and thank your body for all that it does for you in a day we got this,,
I love your body positivity,,
"I'm completely fine with body positivity, and honestly, wanting people to eat healthy and take care of themselves is pretty positive. This one girl said that it's fatphobic to tell someone to diet. When I told her that's not a word she said ""neither is homophobia""",,
Like my own private little body positivity blog that i can profit off of.,,
A little body positivity,,
I was thinking of stating a body positivity page with a private carrd you have to pay to get the login details of. Like a patreon/of but like % to me instead of % to a company and % to me,,
im seriously agahst at this ive never seen a more bad faith interpretation of body positivity... and im not even a fan of body positivity!!,,
"Im not plus anything! I dont need to absorb that space! Im a standard across the board (the average American woman??) whos looking for good style inspo. But the s/8s of midsize took the space the way they took body positivity and Im not surprised, just tired.",,
"tired of skinny white girls in designer clothes rucking up their shirts and squishing their skin together to promote body positivity as they're trying to sell me their particular flavor of ""skinny and privileged"" tonight",,
know ur worth body positivity,,
"I think its just weird that as soon as i started liking body positivity content on tiktok and interacted with midsize fashion tiktoks, half of my fyp has been about fad dieting and girls starving themselves...",,
and donating the clothes that dont fit instead of telling yourself that one day you might fit in them!!! body positivity baby.,,
Obviously. Mans promoting body positivity,,
Body positivity and liking how I look fo today,,
my therapist went on a rant about body positivity today and i literally cried so much i love her,,
Your body doesn't define you. Don't manifest yourself in a negative way. Learn to appreciate yourself in a way that no one can. Surround yourself with admiration and not negative positivity. Just remember that life is too temporary to do anything but relish your life.,,
"Body positivity for me, not for thee",,
"Thanks beautiful. I've been taking a lot of zinc, that helps the body heal &amp; magnesium, that helps with muscles/depression. If you're going through some dark stuff right now I recommend picking up some magnesium. IDK it might help. Sending love &amp; positivity your way.",,
"Reminds me of a well-known ecofascist who's name i forget that argued that any human weighing over kg is a waste of resources. If the calories bit is a real thing, I can't wait to see how they consolidate it with body positivity.",,
Your body doesn't make you. Don't judge yourself in a cynical way. Learn to admire yourself in a way that can. Surround yourself with admiration and not negative positivity. Just remember that life is too short to do anything but relish your life.,,
"I dont understand how most folks try to make body positivity as a bad thing tbh, even in the art community",,
"That's why I never take talk of ""fat shaming"" and ""body positivity"" seriously. Nobody actually believes its wrong to shame someone's weight or appearance. Nobody. It's only an issue if its someone they like. Get mad when its Lizzo, laugh about it when its Sarah Huckabee Sanders.",,
This piece (cw: uses body positivism instead of fat liberation) posits that food justice and fat acceptance are intertwined feminist struggles not a lot of mention of the inherent anti blackness of fatphobia tho,,
"Take a deeper dive into the body positivity movement with this list of recommended reads, including BODY TALK ed. by . Learn more about this anthology that's as varied as our bodies -",,
"Our body has the ability to heal itself from many things...how incredible is that, we have the power to heal our bodies, our minds and our souls...positivity in our healing process goes such a long way as per a multitude of studies, dont for one second forget your super powers.",,
i love all the plus size body positivity on tiktok but all the people i see calling themselves plus size are definitely not plus size,,
"(PT3) I would LOVE to see more people embrace their bodies. Size &amp; gender is irrelevant. Whoever, whatever you are, embrace, love, celebrate!!! It's time to and your ! Spread and !",,
"Cause we are about positivity that no matter what, we are all beautiful, all unique. We don't need likes we aibt about that but I sure as HELL LIKES MY BODY proper banging",,
people wanna preach body positivity and to not make fun of how others looks and things people cant control and then turn around and say mean shit .... like this shit dont apply to men too ???,,
"*playing with data* months into the pandemic and % of the local student body has had Covid, as well as % of the Teachers despite all precautions. We are facing another wave since yesterday's positivity rate was %. They are still open for in-person classes.",,
"The body positivity movement is only about accepting fatter bodies as beautiful, no one tells an anorexic people they look good",,
Your body doesn't make you. Don't judge yourself in a pessimistic way. Learn to love yourself in a way that your friends can. Surround yourself with appreciation and not negative positivity. Just remember that life is too temporary to do anything but relish your life.,,
"I first starting diving into the body-positive world in I think - it really helped me love my body and led to fat acceptance and a bunch of great things. But lately, body autonomy fits my outlook a lot more.",,
Love Jessica's body positivity on tonight. It's so refreshing to hear someone say 'I love who I am and I love my body.',,
